Error: too many values to unpack (expected 3)
Error: too many values to unpack (expected 3)
Name: 浙江国际, URL: http://61.163.58.195:1718/zhejiang.php?id=zjgj$订阅源, Date: None, Resolution: None, Response Time: 383 ms
Name: 浙江国际, URL: https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8?$订阅源|1920x1080, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: 浙江国际, URL: https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8$订阅源|1920x1080, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: 浙江少儿, URL: http://61.163.58.195:1718/zhejiang.php?id=zjse$订阅源, Date: None, Resolution: None, Response Time: 383 ms
Name: 浙江少儿, URL: http://120.55.49.231:8617/rtp/233.50.201.138:5140$组播源, Date: None, Resolution: None, Response Time: 2975 ms
Name: 浙江少儿, URL: https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8$订阅源|1920x1080, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: 浙江少儿, URL: https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8?$订阅源|1920x1080, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: 浙江少儿, URL: https://ct-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8$订阅源|1920x1080, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: 浙江少儿, URL: http://120.55.49.231:3095/rtp/233.50.201.138:5140$组播源, Date: None, Resolution: None, Response Time: 3976 ms
